Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T03:56:58,2020-08-03T08:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T03:56:58,2020-08-03T08:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T03:56:58,2020-08-03T08:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T03:56:58,2020-08-03T08:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T02:56:58,2020-08-03T07:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T02:56:58,2020-08-03T07:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T02:56:58,2020-08-03T07:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T02:56:58,2020-08-03T07:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T05:08:16,2020-08-03T10:06:50,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T04:56:58,2020-08-03T09:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T04:56:58,2020-08-03T09:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T04:56:58,2020-08-03T09:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T04:56:58,2020-08-03T09:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T06:56:58,2020-08-03T11:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T06:56:58,2020-08-03T11:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T06:56:58,2020-08-03T11:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T06:56:58,2020-08-03T11:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T07:56:58,2020-08-03T12:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T07:56:58,2020-08-03T12:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T07:56:58,2020-08-03T12:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T07:56:58,2020-08-03T12:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T08:52:32,2020-08-03T13:51:49,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T08:56:58,2020-08-03T13:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T08:56:59,2020-08-03T13:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T08:56:58,2020-08-03T13:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T08:56:58,2020-08-03T13:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T10:41:58,2020-08-03T15:41:50,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T09:41:58,2020-08-03T14:41:50,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T09:56:58,2020-08-03T14:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T09:56:59,2020-08-03T14:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T09:56:58,2020-08-03T14:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T09:56:58,2020-08-03T14:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
