0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2075,0.07389,Jalan Klang Lama,+,0.7,TR,31.0,31.0,35.2,0.45454,2020-08-03T00:59:47Z,Jalan Kuchai Lama,d12fded0-5a40-49a9-a859-92ef8bce3a8a,F05-02070,F05-02070_2020-08-03T00:59:47Z,
2074,0.80072,Jalan 1/128B,+,0.7,TR,43.0,43.0,44.9,0.56421,2020-08-03T00:59:47Z,Jalan Kuchai Lama,d12fded0-5a40-49a9-a859-92ef8bce3a8a,F05-02070,F05-02070_2020-08-03T00:59:47Z,
2073,1.2023,E10/Lebuhraya Baru Pantai/Jalan 1/116B,+,0.7,TR,42.0,42.0,47.3,1.494,2020-08-03T00:59:47Z,Jalan Kuchai Lama,d12fded0-5a40-49a9-a859-92ef8bce3a8a,F05-02070,F05-02070_2020-08-03T00:59:47Z,
2072,0.44627,E9/E20/Lebuhraya Sungai Besi/Lebuhraya Maju,+,0.7,TR,38.0,38.0,51.7,2.7595,2020-08-03T00:59:47Z,Jalan Kuchai Lama,d12fded0-5a40-49a9-a859-92ef8bce3a8a,F05-02070,F05-02070_2020-08-03T00:59:47Z,
2071,0.18032,E9/Lebuhraya Sungai Besi,+,0.7,TR,29.0,29.0,35.4,1.2806,2020-08-03T00:59:47Z,Jalan Kuchai Lama,d12fded0-5a40-49a9-a859-92ef8bce3a8a,F05-02070,F05-02070_2020-08-03T00:59:47Z,
2071,0.02426,E9/Lebuhraya Sungai Besi,-,0.7,TR,56.0,56.0,58.0,0.45977,2020-08-03T00:59:47Z,Jalan Kuchai Lama,482209e6-0b03-4021-86d8-dc449810806c,F05+02070,F05+02070_2020-08-03T00:59:47Z,
2072,0.24971,E9/E20/Lebuhraya Sungai Besi/Lebuhraya Maju,-,0.72,TR,32.59,32.59,49.5,3.74792,2020-08-03T00:59:47Z,Jalan Kuchai Lama,482209e6-0b03-4021-86d8-dc449810806c,F05+02070,F05+02070_2020-08-03T00:59:47Z,
2073,0.45221,E10/Lebuhraya Baru Pantai/Jalan 1/116B,-,0.79,TR,52.36,52.36,57.1,1.10705,2020-08-03T00:59:47Z,Jalan Kuchai Lama,482209e6-0b03-4021-86d8-dc449810806c,F05+02070,F05+02070_2020-08-03T00:59:47Z,
2074,1.21834,Jalan 1/128B,-,0.7,TR,38.0,38.0,47.1,1.72682,2020-08-03T00:59:47Z,Jalan Kuchai Lama,482209e6-0b03-4021-86d8-dc449810806c,F05+02070,F05+02070_2020-08-03T00:59:47Z,
2075,0.87462,Jalan Klang Lama,-,0.7,TR,34.0,34.0,41.5,1.44578,2020-08-03T00:59:47Z,Jalan Kuchai Lama,482209e6-0b03-4021-86d8-dc449810806c,F05+02070,F05+02070_2020-08-03T00:59:47Z,
2088,0.0777,Jalan Burung Hantu,+,0.72,TR,47.91,47.91,53.2,1.32628,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,d2569c58-9249-4955-b287-31cdec7f17ff,F05-02083,F05-02083_2020-08-03T00:59:47Z,
2087,0.38675,Jalan 3/62B,+,0.7,TR,55.0,55.0,56.6,0.37691,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,d2569c58-9249-4955-b287-31cdec7f17ff,F05-02083,F05-02083_2020-08-03T00:59:47Z,
